#CollectionType,CollectionSize,AvgInsertNanos,AvgDeleteNanos,AvgSearchNano,AvgIterationNanos
Slice,100,2436,253,1116,308
Slice,1000,9146,459,5001,1393
Slice,10000,92366,3712,42323,8624
Slice,100000,2558681,95754,341383,113341
Slice,1000000,21264585,1318361,3167187,1413643
ArrayList,100,188,227,782,961
ArrayList,1000,436,194,6589,4874
ArrayList,10000,2860,2695,62291,94540
ArrayList,100000,82785,246888,722939,3093046
ArrayList,1000000,1189993,1243962,6997446,27727593
TreeSet,100,437,10,0,2215
TreeSet,1000,457,70,20,28250
TreeSet,10000,797,674,695,672499
TreeSet,100000,1405,1131,807,17387214
TreeSet,1000000,3084,1501,1286,270808311
Map,100,268,3,4,1792
Map,1000,113,15,17,18621
Map,10000,127,118,181,188733
Map,100000,195,487,415,1871776
Map,1000000,796,294,281,19936373
